DATEHOUR,LOAD,LOCATION
2016-01-02 0:00,3508.5358,South (Corpus Christi)
2016-01-02 0:00,6159.90999,South Central (Austin)
2016-01-02 0:00,1180.69342,West (Abilene)
2016-01-02 1:00,9389.996597,Coast (Houston)
2016-01-02 1:00,1228.109992,East (Tyler)
2016-01-02 1:00,2153.870885,Far West (Midland)
2016-01-02 1:00,783.1202297,North (Wichita Falls)
2016-01-02 1:00,11700.07123,North Central (DFW)
2016-01-02 1:00,3355.613185,South (Corpus Christi)
2016-01-02 1:00,5879.102965,South Central (Austin)
2016-01-02 1:00,1149.687712,West (Abilene)
2016-01-02 2:00,1133.637699,West (Abilene)
2016-01-02 2:00,9159.55779,Coast (Houston)
2016-01-02 2:00,1209.686996,East (Tyler)
2016-01-02 2:00,2133.044842,Far West (Midland)
2016-01-02 2:00,774.9293851,North (Wichita Falls)
2016-01-02 2:00,11399.38409,North Central (DFW)
2016-01-02 2:00,3266.454062,South (Corpus Christi)
2016-01-02 2:00,5674.944657,South Central (Austin)
2016-01-02 3:00,9029.285197,Coast (Houston)
2016-01-02 3:00,1199.575162,East (Tyler)
2016-01-02 3:00,2122.475472,Far West (Midland)
2016-01-02 3:00,771.6656523,North (Wichita Falls)
2016-01-02 3:00,11193.15923,North Central (DFW)
2016-01-02 3:00,3188.694394,South (Corpus Christi)
2016-01-02 3:00,5559.242916,South Central (Austin)
2016-01-02 3:00,1126.798214,West (Abilene)
2016-01-02 4:00,8926.233158,Coast (Houston)
2016-01-02 4:00,1191.547501,East (Tyler)
2016-01-02 4:00,2114.911464,Far West (Midland)
2016-01-02 4:00,769.0410566,North (Wichita Falls)
2016-01-02 4:00,11100.45183,North Central (DFW)
2016-01-02 4:00,3161.512173,South (Corpus Christi)
2016-01-02 4:00,5514.876642,South Central (Austin)
2016-01-02 4:00,1128.642135,West (Abilene)
2016-01-02 5:00,1140.571318,West (Abilene)
2016-01-02 5:00,9000.162257,Coast (Houston)
2016-01-02 5:00,1201.689973,East (Tyler)
2016-01-02 5:00,2121.812995,Far West (Midland)
2016-01-02 5:00,775.2017679,North (Wichita Falls)
2016-01-02 5:00,11191.66028,North Central (DFW)
2016-01-02 5:00,3179.928441,South (Corpus Christi)
2016-01-02 5:00,5569.077875,South Central (Austin)
2016-01-02 6:00,9186.95775,Coast (Houston)
2016-01-02 6:00,1244.921748,East (Tyler)
2016-01-02 6:00,2131.02742,Far West (Midland)
2016-01-02 6:00,790.9124757,North (Wichita Falls)
2016-01-02 6:00,11500.34627,North Central (DFW)
2016-01-02 6:00,3264.364321,South (Corpus Christi)
2016-01-02 6:00,5729.823437,South Central (Austin)
2016-01-02 6:00,1168.713982,West (Abilene)
2016-01-02 7:00,9453.046361,Coast (Houston)
2016-01-02 7:00,1290.694871,East (Tyler)
2016-01-02 7:00,2137.865571,Far West (Midland)
2016-01-02 7:00,811.6930821,North (Wichita Falls)
